pais,provincia_departamento,ciudad,property_type,rooms,bedrooms,bathrooms,surface_total,price_USD
Colombia,Antioquia,Medellín,Apartamento,1.0,1.0,1.0,48.0,39912.0
Argentina,Capital Federal,San Cristobal,Departamento,2.0,1.0,1.0,45.0,85000.0
Argentina,Capital Federal,Villa Crespo,Departamento,3.0,2.0,1.0,106.0,170000.0
Argentina,Capital Federal,Chacarita,Departamento,3.0,2.0,1.0,55.0,118000.0
Argentina,Bs.As. G.B.A. Zona Oeste,Tres de Febrero,Departamento,2.0,1.0,1.0,37.0,83800.0
Argentina,Capital Federal,Chacarita,Departamento,2.0,1.0,1.0,50.0,75000.0
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,2.0,67.0,61932.0
Argentina,Capital Federal,Liniers,Departamento,2.0,1.0,1.0,42.0,82000.0
Argentina,Capital Federal,Almagro,Departamento,2.0,1.0,1.0,42.0,130000.0
Colombia,Magdalena,Santa Marta,Apartamento,2.0,2.0,2.0,82.0,84503.0
Colombia,Antioquia,Copacabana,Apartamento,2.0,2.0,2.0,57.0,55024.0
Argentina,Bs.As. G.B.A. Zona Norte,Pilar,Departamento,2.0,1.0,2.0,86.0,125000.0
Argentina,Bs.As. G.B.A. Zona Sur,Lomas de Zamora,Departamento,3.0,2.0,1.0,55.0,85000.0
Argentina,Capital Federal,Belgrano,Departamento,7.0,5.0,4.0,300.0,1500000.0
Argentina,Capital Federal,Las Cañitas,Departamento,1.0,1.0,1.0,41.0,156504.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,1.0,1.0,1.0,28.0,36000.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,3.0,2.0,2.0,75.0,169000.0
Argentina,Capital Federal,Palermo,Departamento,6.0,3.0,2.0,233.0,780000.0
Argentina,Córdoba,Córdoba,Departamento,3.0,1.0,1.0,48.0,76000.0
Argentina,Capital Federal,Belgrano,Departamento,4.0,3.0,1.0,99.0,310000.0
Argentina,Capital Federal,Belgrano,Departamento,1.0,1.0,1.0,24.0,81000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,2.0,2.0,2.0,64.0,101844.0
Argentina,Capital Federal,Liniers,Departamento,3.0,2.0,1.0,50.0,115000.0
Argentina,Capital Federal,Retiro,Departamento,4.0,3.0,3.0,189.0,680000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,2.0,49.0,30278.0
Argentina,Santa Fe,Rosario,Departamento,1.0,1.0,1.0,40.0,81000.0
Argentina,Capital Federal,Almagro,Departamento,2.0,1.0,1.0,40.0,80000.0
Argentina,Capital Federal,Puerto Madero,Departamento,5.0,4.0,6.0,303.0,2750000.0
Argentina,Capital Federal,San Nicolás,Departamento,2.0,1.0,1.0,32.0,85000.0
Argentina,Capital Federal,Barrio Norte,Departamento,3.0,2.0,1.0,55.0,158000.0
Argentina,Capital Federal,Almagro,Departamento,1.0,1.0,1.0,44.0,82000.0
Argentina,Santa Fe,Rosario,Departamento,3.0,2.0,2.0,89.0,145400.0
Argentina,Capital Federal,Palermo,Departamento,6.0,3.0,2.0,304.0,1480000.0
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,2.0,110.0,88081.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,4.0,3.0,3.0,120.0,280000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,4.0,4.0,5.0,277.0,660611.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,1.0,1.0,2.0,56.0,114231.0
Argentina,Santa Fe,Rosario,Departamento,3.0,2.0,1.0,75.0,169000.0
Argentina,Capital Federal,San Nicolás,Departamento,1.0,1.0,1.0,29.0,67000.0
Colombia,Antioquia,Bello,Apartamento,3.0,3.0,2.0,72.0,71566.0
Argentina,Bs.As. G.B.A. Zona Sur,Lanús,Departamento,3.0,2.0,1.0,65.0,85000.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,3.0,2.0,1.0,66.0,79500.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,2.0,82.0,121112.0
Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,Departamento,3.0,1.0,1.0,50.0,79500.0
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,4.0,156.0,184421.0
Colombia,Antioquia,Envigado,Apartamento,3.0,3.0,2.0,87.0,101844.0
Argentina,Capital Federal,Flores,Departamento,1.0,1.0,1.0,40.0,84900.0
Argentina,Santa Fe,Rosario,Departamento,7.0,5.0,4.0,320.0,750000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,4.0,4.0,4.0,326.0,880815.0
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,4.0,125.0,104597.0
Argentina,Santa Fe,Rosario,Departamento,2.0,1.0,1.0,30.0,46500.0
Argentina,Bs.As. G.B.A. Zona Norte,San Miguel,Departamento,2.0,1.0,1.0,40.0,60000.0
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,2.0,114.0,82576.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,2.0,114.0,132122.0
Argentina,Capital Federal,Villa Crespo,Departamento,2.0,1.0,1.0,42.0,130000.0
Argentina,Capital Federal,Liniers,Departamento,2.0,1.0,1.0,28.0,49900.0
Argentina,Bs.As. G.B.A. Zona Norte,Pilar,Departamento,4.0,3.0,3.0,190.0,270000.0
Argentina,Bs.As. G.B.A. Zona Norte,Pilar,Departamento,1.0,1.0,1.0,32.0,51000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,1.0,1.0,2.0,43.0,94963.0
Colombia,Antioquia,La Estrella,Apartamento,3.0,3.0,2.0,67.0,63309.0
Argentina,Bs.As. G.B.A. Zona Oeste,Morón,Departamento,3.0,2.0,2.0,86.0,165000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,4.0,165.0,240848.0
Argentina,Capital Federal,Nuñez,Departamento,4.0,3.0,1.0,75.0,220000.0
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,3.0,140.0,77071.0
Colombia,Antioquia,Sabaneta,Apartamento,3.0,3.0,2.0,70.0,68814.0
Argentina,Capital Federal,Almagro,Departamento,3.0,2.0,1.0,52.0,130000.0
Argentina,Bs.As. G.B.A. Zona Sur,La Plata,Departamento,2.0,1.0,1.0,38.0,69000.0
Argentina,Río Negro,San Carlos de Bariloche,Departamento,3.0,2.0,1.0,64.0,105000.0
Argentina,Bs.As. G.B.A. Zona Norte,Malvinas Argentinas,Departamento,2.0,1.0,1.0,55.0,120000.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,4.0,3.0,1.0,99.0,125000.0
Colombia,Antioquia,Medellín,Apartamento,3.0,3.0,2.0,63.0,48170.0
Argentina,Capital Federal,Caballito,Departamento,4.0,3.0,3.0,80.0,165000.0
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,2.0,90.0,56427.0
Argentina,Capital Federal,San Cristobal,Departamento,3.0,2.0,1.0,80.0,126000.0
Argentina,Santa Fe,Rosario,Departamento,2.0,1.0,1.0,35.0,64000.0
Colombia,Risaralda,Pereira,Apartamento,3.0,3.0,1.0,75.0,35783.0
Argentina,Capital Federal,Puerto Madero,Departamento,3.0,2.0,2.0,160.0,1000000.0
Argentina,Capital Federal,Villa Crespo,Departamento,2.0,1.0,1.0,32.0,78800.0
Argentina,Capital Federal,Palermo,Departamento,4.0,3.0,2.0,157.0,870000.0
Argentina,Capital Federal,Barrio Norte,Departamento,2.0,1.0,1.0,49.0,133000.0
Argentina,Capital Federal,Caballito,Departamento,2.0,1.0,1.0,49.0,125000.0
Argentina,Capital Federal,Balvanera,Departamento,2.0,1.0,1.0,36.0,80000.0
Argentina,Capital Federal,San Telmo,Departamento,2.0,1.0,1.0,35.0,74000.0
Argentina,Santa Fe,Rosario,Departamento,2.0,1.0,1.0,45.0,94500.0
Colombia,Antioquia,Bello,Apartamento,3.0,3.0,2.0,71.0,50922.0
Argentina,Capital Federal,Villa Devoto,Departamento,3.0,2.0,2.0,65.0,194900.0
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,2.0,84.0,73548.0
Argentina,Santa Fe,Rosario,Departamento,3.0,1.0,1.0,76.0,145000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,2.0,2.0,2.0,67.0,108726.0
Argentina,Capital Federal,Barracas,Departamento,3.0,2.0,2.0,66.0,160000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,2.0,75.0,82576.0
Colombia,Antioquia,Medellín,Apartamento,3.0,3.0,3.0,86.0,219103.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,4.0,270.0,853289.0
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,2.0,103.0,102064.0
Argentina,Capital Federal,Villa Luro,Departamento,1.0,1.0,1.0,30.0,60000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,2.0,2.0,3.0,80.0,114231.0
Argentina,Capital Federal,Palermo,Departamento,4.0,3.0,3.0,142.0,950000.0
Colombia,Antioquia,Bello,Apartamento,2.0,2.0,2.0,65.0,61932.0
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,2.0,92.0,67437.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,3.0,212.0,247729.0
Argentina,Capital Federal,Palermo,Departamento,4.0,3.0,2.0,178.0,930000.0
Argentina,Capital Federal,Palermo,Departamento,4.0,3.0,3.0,266.0,1680000.0
Argentina,Capital Federal,Recoleta,Departamento,5.0,3.0,2.0,136.0,335000.0
Argentina,Bs.As. G.B.A. Zona Sur,Almirante Brown,Departamento,3.0,2.0,1.0,55.0,52000.0
Argentina,Capital Federal,Palermo,Departamento,4.0,3.0,2.0,100.0,320000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,4.0,4.0,4.0,220.0,189926.0
Argentina,Capital Federal,Almagro,Departamento,2.0,1.0,1.0,35.0,77000.0
Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,3.0,2.0,1.0,60.0,145000.0
Argentina,Santa Fe,Rosario,Departamento,2.0,1.0,1.0,41.0,54000.0
Argentina,Capital Federal,Belgrano,Departamento,5.0,4.0,3.0,267.0,1500000.0
Argentina,Capital Federal,Recoleta,Departamento,2.0,1.0,1.0,35.0,125000.0
Argentina,Córdoba,Córdoba,Departamento,2.0,1.0,1.0,28.0,45000.0
Argentina,Bs.As. G.B.A. Zona Norte,Pilar,Departamento,3.0,2.0,2.0,115.0,195000.0
Argentina,Capital Federal,Palermo,Departamento,3.0,2.0,1.0,62.0,160000.0
Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,Departamento,4.0,3.0,2.0,107.0,180000.0
Argentina,Capital Federal,Caballito,Departamento,3.0,2.0,1.0,76.0,169000.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,5.0,4.0,4.0,218.0,550000.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,1.0,42.0,65000.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,1.0,38.0,65500.0
Colombia,Atlántico,Barranquilla,Apartamento,1.0,1.0,1.0,40.0,45417.0
Argentina,Santa Fe,Rosario,Departamento,4.0,3.0,1.0,85.0,51000.0
Argentina,Buenos Aires Interior,Bahía Blanca,Departamento,2.0,1.0,1.0,55.0,75000.0
Argentina,Santa Fe,Rosario,Departamento,2.0,1.0,1.0,46.0,90000.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,1.0,1.0,1.0,27.0,55000.0
Argentina,Capital Federal,Chacarita,Departamento,1.0,1.0,1.0,30.0,90000.0
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,2.0,88.0,74319.0
Argentina,Santa Fe,Rosario,Departamento,2.0,1.0,1.0,35.0,64000.0
Argentina,Bs.As. G.B.A. Zona Sur,La Plata,Departamento,1.0,1.0,1.0,34.0,49500.0
Colombia,Antioquia,Medellín,Apartamento,2.0,2.0,1.0,44.0,33031.0
Argentina,Capital Federal,Villa Crespo,Departamento,2.0,1.0,1.0,33.0,71000.0
Argentina,Capital Federal,Balvanera,Departamento,2.0,1.0,1.0,40.0,82000.0
Argentina,Córdoba,Villa Carlos Paz,Departamento,2.0,2.0,2.0,60.0,90000.0
Argentina,Bs.As. G.B.A. Zona Sur,La Plata,Departamento,1.0,1.0,1.0,33.0,55000.0
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,3.0,140.0,123865.0
Argentina,Capital Federal,San Cristobal,Departamento,3.0,2.0,1.0,65.0,105000.0
Argentina,Santa Fe,Rosario,Departamento,1.0,1.0,1.0,27.0,42000.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,1.0,45.0,82900.0
Argentina,Capital Federal,Recoleta,Departamento,5.0,3.0,2.0,135.0,368000.0
Argentina,Capital Federal,Recoleta,Departamento,2.0,1.0,1.0,46.0,120000.0
Argentina,Santa Fe,Santa Fe,Departamento,2.0,1.0,1.0,50.0,72000.0
Argentina,Capital Federal,Palermo,Departamento,4.0,3.0,4.0,178.0,1490000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,2.0,2.0,2.0,61.0,96339.0
Argentina,Capital Federal,Once,Departamento,2.0,1.0,1.0,33.0,55000.0
Colombia,Antioquia,Medellín,Apartamento,3.0,3.0,2.0,98.0,109551.0
Argentina,Capital Federal,Belgrano,Departamento,3.0,2.0,2.0,86.0,236592.0
Colombia,Valle del Cauca,Cali,Apartamento,2.0,2.0,2.0,65.0,41288.0
Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,3.0,2.0,1.0,135.0,360000.0
Argentina,Buenos Aires Interior,Bahía Blanca,Departamento,4.0,3.0,2.0,73.0,145000.0
Argentina,Capital Federal,San Telmo,Departamento,3.0,2.0,2.0,70.0,160000.0
Argentina,Bs.As. G.B.A. Zona Sur,La Plata,Departamento,2.0,1.0,1.0,42.0,60000.0
Argentina,Capital Federal,Belgrano,Departamento,3.0,2.0,1.0,63.0,198000.0
Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,2.0,1.0,1.0,58.0,225000.0
Argentina,Bs.As. G.B.A. Zona Norte,San Isidro,Departamento,3.0,2.0,2.0,72.0,230000.0
Argentina,Capital Federal,Villa Crespo,Departamento,2.0,1.0,1.0,39.0,75000.0
Argentina,Capital Federal,Colegiales,Departamento,3.0,1.0,1.0,68.0,187000.0
Argentina,Santa Fe,Santa Fe,Departamento,3.0,2.0,2.0,80.0,120000.0
Argentina,Capital Federal,Abasto,Departamento,2.0,1.0,1.0,50.0,109000.0
Argentina,Capital Federal,Villa Crespo,Departamento,2.0,1.0,1.0,42.0,100000.0
Argentina,Córdoba,Córdoba,Departamento,7.0,2.0,1.0,72.0,87000.0
Argentina,Capital Federal,Barrio Norte,Departamento,4.0,3.0,1.0,84.0,280000.0
Argentina,Bs.As. G.B.A. Zona Norte,Vicente López,Departamento,4.0,3.0,1.0,61.0,148000.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,4.0,3.0,1.0,75.0,115000.0
Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,2.0,1.0,1.0,50.0,110000.0
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,2.0,68.0,51473.0
Argentina,Capital Federal,Caballito,Departamento,3.0,2.0,1.0,68.0,152000.0
Argentina,Capital Federal,Belgrano,Departamento,4.0,3.0,3.0,171.0,1250000.0
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,2.0,94.0,85329.0
Argentina,Capital Federal,Almagro,Departamento,3.0,2.0,2.0,74.0,183000.0
Argentina,Córdoba,Córdoba,Departamento,6.0,3.0,2.0,140.0,320000.0
Argentina,Capital Federal,Barrio Norte,Departamento,2.0,1.0,1.0,47.0,160000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,4.0,4.0,4.0,125.0,214699.0
Argentina,Capital Federal,Barrio Norte,Departamento,5.0,3.0,3.0,255.0,1000000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,4.0,250.0,440407.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,1.0,45.0,85900.0
Argentina,Capital Federal,Recoleta,Departamento,7.0,4.0,3.0,247.0,750000.0
Argentina,Capital Federal,Caballito,Departamento,2.0,1.0,1.0,48.0,131000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,3.0,132.0,173135.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,2.0,2.0,2.0,70.0,107349.0
Colombia,Cundinamarca,Soacha,Apartamento,3.0,3.0,2.0,62.0,28902.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,1.0,33.0,53000.0
Argentina,Buenos Aires Costa Atlántica,Pinamar,Departamento,4.0,3.0,3.0,96.0,397000.0
Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,2.0,1.0,1.0,45.0,120000.0
Argentina,Bs.As. G.B.A. Zona Sur,La Plata,Departamento,2.0,1.0,1.0,36.0,65000.0
Argentina,Capital Federal,Barrio Norte,Departamento,2.0,1.0,1.0,37.0,99000.0
Argentina,Bs.As. G.B.A. Zona Sur,La Plata,Departamento,2.0,1.0,1.0,42.0,62000.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,3.0,2.0,2.0,70.0,96900.0
Argentina,Capital Federal,Palermo,Departamento,2.0,1.0,1.0,40.0,106000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,2.0,2.0,3.0,100.0,174787.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,1.0,1.0,2.0,70.0,151390.0
Argentina,Capital Federal,Palermo,Departamento,2.0,1.0,1.0,42.0,130000.0
Argentina,Buenos Aires Costa Atlántica,Villa Gesell,Departamento,1.0,1.0,1.0,60.0,135000.0
Argentina,Capital Federal,Retiro,Departamento,5.0,3.0,2.0,148.0,390000.0
Argentina,Córdoba,Córdoba,Departamento,4.0,3.0,2.0,115.0,159900.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,2.0,80.0,112854.0
Colombia,Antioquia,Envigado,Apartamento,4.0,4.0,3.0,151.0,132122.0
Argentina,Capital Federal,Recoleta,Departamento,4.0,3.0,2.0,97.0,199000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,2.0,2.0,2.0,67.0,96339.0
Argentina,Capital Federal,Belgrano,Departamento,3.0,2.0,2.0,75.0,246000.0
Argentina,Bs.As. G.B.A. Zona Sur,Lanús,Departamento,1.0,1.0,1.0,32.0,49000.0
Argentina,Capital Federal,Recoleta,Departamento,2.0,1.0,1.0,40.0,150000.0
Argentina,Santa Fe,Rosario,Departamento,2.0,2.0,1.0,60.0,96000.0
Argentina,Capital Federal,Palermo,Departamento,3.0,2.0,1.0,122.0,420000.0
Colombia,Cundinamarca,Tabio,Apartamento,3.0,3.0,2.0,88.0,66061.0
Argentina,Bs.As. G.B.A. Zona Norte,Vicente López,Departamento,2.0,1.0,1.0,75.0,310000.0
Argentina,Capital Federal,Villa Urquiza,Departamento,3.0,2.0,1.0,50.0,200000.0
Colombia,Antioquia,Medellín,Apartamento,4.0,4.0,3.0,205.0,214699.0
Colombia,Cundinamarca,Cajicá,Apartamento,3.0,3.0,2.0,89.0,94963.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,3.0,2.0,2.0,60.0,90000.0
Argentina,Capital Federal,Caballito,Departamento,2.0,1.0,1.0,45.0,95000.0
Argentina,Capital Federal,Palermo,Departamento,4.0,3.0,3.0,250.0,3450000.0
Argentina,Capital Federal,Barrio Norte,Departamento,3.0,1.0,1.0,56.0,155000.0
Argentina,Capital Federal,Villa Crespo,Departamento,2.0,1.0,1.0,49.0,103500.0
Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,Departamento,3.0,2.0,1.0,70.0,125000.0
Colombia,Antioquia,Marinilla,Apartamento,3.0,3.0,1.0,52.0,37168.0
Argentina,Capital Federal,Almagro,Departamento,2.0,1.0,1.0,35.0,90000.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,3.0,2.0,2.0,65.0,129900.0
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,2.0,76.0,44041.0
Argentina,Córdoba,Villa Carlos Paz,Departamento,4.0,2.0,1.0,92.0,140000.0
Argentina,Capital Federal,Almagro,Departamento,4.0,3.0,1.0,100.0,180000.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,2.0,2.0,57.0,128900.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,1.0,47.0,92900.0
Argentina,Capital Federal,Villa Crespo,Departamento,2.0,1.0,1.0,54.0,107500.0
Argentina,Capital Federal,Recoleta,Departamento,6.0,4.0,4.0,249.0,1500000.0
Argentina,Capital Federal,Parque Centenario,Departamento,2.0,1.0,1.0,33.0,87500.0
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,4.0,204.0,233966.0
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,2.0,66.0,57803.0
Argentina,Capital Federal,Palermo,Departamento,2.0,1.0,1.0,47.0,105000.0
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,2.0,82.0,63309.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,1.0,50.0,50922.0
Argentina,Capital Federal,Almagro,Departamento,2.0,1.0,1.0,48.0,99000.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,2.0,76.0,98000.0
Argentina,Capital Federal,San Telmo,Departamento,1.0,1.0,1.0,43.0,130000.0
Colombia,Valle del Cauca,Jamundí,Apartamento,3.0,3.0,2.0,55.0,37159.0
Argentina,Córdoba,Villa Carlos Paz,Departamento,2.0,1.0,1.0,37.0,52000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,1.0,1.0,1.0,50.0,63309.0
Argentina,Capital Federal,Almagro,Departamento,4.0,3.0,2.0,94.0,280000.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,1.0,1.0,1.0,27.0,53000.0
Argentina,Capital Federal,Villa Crespo,Departamento,3.0,2.0,1.0,59.0,112000.0
Argentina,Capital Federal,Caballito,Departamento,2.0,1.0,1.0,45.0,117000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,1.0,1.0,2.0,63.0,122175.0
Argentina,Capital Federal,Recoleta,Departamento,3.0,2.0,1.0,78.0,235000.0
Argentina,Capital Federal,Belgrano,Departamento,2.0,1.0,2.0,66.0,206259.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,1.0,40.0,65000.0
Colombia,Antioquia,Medellín,Apartamento,4.0,4.0,4.0,157.0,206441.0
Argentina,Capital Federal,Villa Luro,Departamento,2.0,1.0,1.0,47.0,87000.0
Argentina,Capital Federal,Palermo,Departamento,2.0,1.0,1.0,47.0,101000.0
Colombia,Antioquia,Medellín,Apartamento,3.0,3.0,3.0,89.0,100739.0
Colombia,Antioquia,Itagui,Apartamento,3.0,3.0,2.0,69.0,71566.0
Colombia,Valle del Cauca,Cali,Apartamento,2.0,2.0,1.0,50.0,23397.0
Argentina,Capital Federal,Almagro,Departamento,2.0,1.0,1.0,44.0,100000.0
Argentina,Córdoba,Córdoba,Departamento,3.0,2.0,1.0,55.0,63000.0
Argentina,Bs.As. G.B.A. Zona Norte,Escobar,Departamento,3.0,2.0,2.0,107.0,339675.0
Colombia,Antioquia,Medellín,Apartamento,3.0,3.0,2.0,100.0,140380.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,2.0,2.0,2.0,66.0,103220.0
Argentina,Capital Federal,Almagro,Departamento,2.0,1.0,1.0,45.0,105000.0
Argentina,Capital Federal,Barrio Norte,Departamento,1.0,1.0,1.0,22.0,65000.0
Argentina,Capital Federal,Monte Castro,Departamento,1.0,1.0,1.0,35.0,80000.0
Colombia,Valle del Cauca,Cali,Apartamento,5.0,5.0,4.0,157.0,165153.0
Colombia,Antioquia,Medellín,Apartamento,4.0,4.0,2.0,117.0,74319.0
Argentina,Santa Fe,Rosario,Departamento,2.0,1.0,1.0,38.0,69000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,4.0,4.0,4.0,326.0,619323.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,1.0,40.0,52000.0
Argentina,Capital Federal,Recoleta,Departamento,8.0,4.0,2.0,298.0,690000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,4.0,147.0,289017.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,2.0,64.0,67437.0
Argentina,Capital Federal,Boedo,Departamento,3.0,2.0,1.0,42.0,74500.0
Argentina,Capital Federal,Almagro,Departamento,3.0,2.0,1.0,56.0,145000.0
Colombia,Cundinamarca,Madrid,Apartamento,3.0,3.0,2.0,53.0,44041.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,1.0,39.0,91900.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,3.0,2.0,1.0,67.0,125000.0
Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,1.0,1.0,1.0,40.0,110000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,2.0,2.0,2.0,70.0,173410.0
Colombia,Cundinamarca,Chía,Apartamento,3.0,3.0,2.0,61.0,51748.0
Argentina,Entre Ríos,Gualeguaychú,Departamento,2.0,1.0,1.0,45.0,46000.0
Colombia,Antioquia,Bello,Apartamento,3.0,3.0,2.0,61.0,42940.0
Argentina,Capital Federal,Colegiales,Departamento,4.0,3.0,2.0,68.0,169000.0
Argentina,Capital Federal,Belgrano,Departamento,4.0,3.0,2.0,70.0,230000.0
Argentina,Capital Federal,San Nicolás,Departamento,7.0,4.0,2.0,145.0,298000.0
Argentina,Capital Federal,Retiro,Departamento,1.0,1.0,1.0,45.0,149000.0
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,2.0,59.0,38536.0
Argentina,Bs.As. G.B.A. Zona Sur,La Plata,Departamento,2.0,1.0,1.0,48.0,110000.0
Argentina,Capital Federal,Palermo,Departamento,2.0,1.0,1.0,43.0,175000.0
Argentina,Santa Fe,Rosario,Departamento,3.0,2.0,2.0,100.0,235000.0
Argentina,Capital Federal,Palermo,Departamento,2.0,1.0,1.0,37.0,137000.0
Colombia,Antioquia,Bello,Apartamento,3.0,3.0,2.0,58.0,67437.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,1.0,45.0,65000.0
Argentina,Capital Federal,Recoleta,Departamento,2.0,1.0,1.0,36.0,112000.0
Colombia,Atlántico,Barranquilla,Apartamento,2.0,2.0,3.0,136.0,147261.0
Argentina,Capital Federal,Barrio Norte,Departamento,8.0,6.0,3.0,210.0,696000.0
Argentina,Buenos Aires Costa Atlántica,Pinamar,Departamento,2.0,1.0,1.0,45.0,97000.0
Argentina,Capital Federal,Parque Patricios,Departamento,2.0,1.0,1.0,35.0,34900.0
Argentina,Bs.As. G.B.A. Zona Sur,La Plata,Departamento,2.0,1.0,1.0,46.0,80000.0
Argentina,Capital Federal,Chacarita,Departamento,2.0,1.0,1.0,51.0,120555.0
Argentina,Capital Federal,Palermo,Departamento,2.0,1.0,1.0,33.0,98000.0
Argentina,Capital Federal,Palermo,Departamento,2.0,1.0,1.0,38.0,98900.0
Argentina,Capital Federal,Palermo,Departamento,3.0,2.0,2.0,110.0,500000.0
